"Plant_id","Acmaeodera_sp","Amegilla_sp","Ancistrocerus_sp","Andrena_sp","Anthidiellum_strigatum","Anthophora_bimaculata","Anthophora_sp","Anthrenus_sp","Apis_mellifera","Attagenus_sp","Bembix_flavescens","Bombus_terrestris","Bombylius_sp","Buprestidae_sp1","Buprestidae_sp2","Cantharidae_sp","Cardiophorus_sp","Ceratina_sp","Chalicodoma_sicula","Chasmatopterus_sp","Chelostoma_sp","Chrysolina_americana","Coleoptera_sp1","Colletes_sp","Coptocephala_sp","Curculionidae","Dasypoda_sp","Deilus_sp","Diodontus_insidiosus","Diptera_sp1","Diptera_sp10","Diptera_sp11","Diptera_sp12","Diptera_sp13","Diptera_sp14","Diptera_sp3","Diptera_sp4","Diptera_sp6","Diptera_sp7","Diptera_sp8","Diptera_sp9","Episyrphus_balteatus","Episyrphus_sp","Eristalis_sp","Eucera_sp","Eupeodes_sp","Exochomus_nigromaculatus","Exoprosopa_italica","Halictidae_sp1","Halictidae_sp3","Halictidae_sp4","Halictus_sp","Halictus_sp2","Halictus_sp3","Heliotaurus_ruficollis","Heriades_sp","Hylaeus_sp","Hymenoptera_sp1","Hyperaspis_sp","Laeosopis_roboris","Lasioglossum_sp1","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp4","Lasioglossum_sp5","Lasioglossum_sp6","Lindenius_luteiventris","Lobonyx_aeneus","Lomatia_sp","Lycaena_phlaeas","Macroglossum_stellatarum ","Malachius_sp","Malthodes_sp","Megachile_apicalis","Megachile_sicula","Megachile_sp","Megachilidae_sp","Meria_tripunctata","Metasyrphus_corollae","Microlepidoptera","Mordellidae_sp","Mordellidae_sp1","Mordellidae_sp2","Mylabris_sp","Mylabris_sp1","Mylabris_sp2","Nitidulidae_sp1","Nomada_sp","Nustera_distigma","Nymphalis_polychloros","Oedemera_sp","Osmia_sp","Paragus_tibialis","Phthiria_sp","Phthiria_sp1","Phthiria_sp2","Plebejus_argus","Pyronia_cecilia","Rhyncomyia_cupraea","Rhyzobius_lophanthae","Scaeva_sp","Scymnus_sp","Sphaerophoria_scripta","Syritta_pipiens","Syrphidae_sp1","Syrphidae_sp2","Syrphidae_sp3","Syrphidae_sp4","Syrphidae_sp5","Syrphidae_sp6","Syrphidae_sp7","Thyreus_sp","Tiphia_morio","Tituboea_sp","Tychius_sp","Unidentified","Usia_sp","Vespidae","Vespula_sp","Xylocopa_cantabrita"
"110",0,0,0,0.567524960588544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338218714768884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28272593852313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126984126984127,0,0,0,0,0,0,0,0.176064498287308,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0952511372920404,0,0,0,0,0,0,0,0,0,0.0952511372920404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48173501922516,0,0,0,0,0,0.0458715596330275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",0,0,0,0,0,0,0,0,0,0,0,0.0400222502766538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341880341880342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16945773405448,0,0,0,0,0,0.0341880341880342,0,0,0,0.0434631718490306,0,0,0,0,0.307692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00270550962887295,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118705449800143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197461212976023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.880350541976597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",0,0,0,0,0,0,0,0,0.895522388059702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06712132476724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",0,0,0,0.341085271317829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20688006428901,0,0,0,0.186046511627907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",0,0,0,0,0,0,0,0,0.810048377112446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919465015459804,0,0,0,0,0,0,0,0,0,0.0381699694230427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369697057640276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",0,0,0,0,0,0,0,0,0.197044334975369,0,0,0,0.0328407224958949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918329237165218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914481364190412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
