Plant_id;Start;End;N_weeks;Flowering_min
418;7;10;2;8400
419;7;9;3;12600
42;2;8;7;29400
420;8;11;4;16800
421;7;10;4;16800
422;8;10;3;12600
423;7;10;4;16800
424;7;9;3;12600
425;7;10;4;16800
426;8;9;2;8400
427;8;11;4;16800
428;8;11;4;16800
429;8;11;4;16800
43;1;6;6;25200
430;8;11;4;16800
431;8;11;4;16800
432;7;11;5;21000
433;8;11;4;16800
434;8;11;4;16800
435;7;11;5;21000
436;7;8;2;8400
437;7;9;3;12600
438;7;8;2;8400
439;7;10;4;16800
44;1;8;8;33600
440;7;8;2;8400
441;7;8;2;8400
442;7;10;4;16800
443;7;9;3;12600
444;7;8;2;8400
445;7;8;2;8400
446;7;10;4;16800
447;7;9;3;12600
448;7;10;4;16800
449;7;9;3;12600
450;7;10;4;16800
451;7;9;3;12600
452;7;9;3;12600
453;7;9;3;12600
454;7;8;2;8400
455;7;10;4;16800
456;7;9;3;12600
457;7;10;3;12600
458;7;9;3;12600
459;7;9;3;12600
46;2;6;5;21000
460;7;9;3;12600
461;7;10;4;16800
462;7;9;3;12600
463;7;9;3;12600
464;7;10;4;16800
465;7;9;3;12600
466;7;10;4;16800
467;7;10;4;16800
468;8;9;2;8400
469;8;10;3;12600
47;2;9;5;21000
470;8;9;2;8400
471;9;16;8;33600
472;9;16;8;33600
473;11;16;6;25200
474;13;15;3;12600
475;13;15;3;12600
476;10;16;7;29400
477;9;14;6;25200
478;14;14;1;4200
479;10;15;6;25200
48;2;6;5;21000
480;11;14;4;16800
482;13;16;4;16800
483;13;15;3;12600
484;11;15;5;21000
485;15;15;1;4200
486;10;16;7;29400
487;11;16;6;25200
488;8;15;7;29400
489;10;16;7;29400
49;2;8;5;21000
490;14;14;1;4200
491;12;15;4;16800
492;14;16;2;8400
493;9;16;8;33600
494;10;16;7;29400
495;10;15;6;25200
496;8;16;8;33600
497;10;15;6;25200
498;11;16;6;25200
499;12;16;5;21000
50;2;6;5;21000
500;10;15;6;25200
501;11;14;4;16800
502;9;16;7;29400
503;9;16;8;33600
504;10;16;6;25200
505;9;16;8;33600
506;9;15;7;29400
507;9;16;8;33600
509;11;16;6;25200
51;2;8;6;25200
510;12;13;2;8400
511;9;16;8;33600
512;11;16;5;21000
513;8;15;8;33600
514;11;15;4;16800
515;8;16;8;33600
516;11;15;2;8400
517;9;15;7;29400
518;11;16;6;25200
519;9;16;8;33600
52;2;8;6;25200
520;9;13;5;21000
521;9;16;8;33600
522;10;16;7;29400
523;10;16;7;29400
524;8;16;9;37800
525;9;15;7;29400
526;10;16;6;25200
527;9;15;7;29400
528;10;16;6;25200
529;9;15;7;29400
53;2;8;6;25200
530;9;16;8;33600
533;11;16;6;25200
534;10;15;6;25200
535;11;13;3;12600
536;11;15;5;21000
537;9;17;9;37800
538;10;16;5;21000
539;10;16;7;29400
54;2;9;5;21000
540;10;16;7;29400
541;10;16;6;25200
542;12;17;5;21000
543;8;16;5;21000
545;12;17;5;21000
546;9;16;8;33600
548;10;17;8;33600
549;10;15;6;25200
55;2;6;5;21000
550;9;17;8;33600
551;9;14;4;16800
552;9;14;5;21000
553;10;14;4;16800
554;10;16;7;29400
555;14;16;3;12600
556;10;16;7;29400
557;12;16;5;21000
558;12;16;5;21000
559;9;15;7;29400
56;2;6;5;21000
560;9;16;8;33600
561;8;10;3;12600
562;8;9;2;8400
564;8;11;4;16800
565;8;11;4;16800
566;10;13;4;16800
567;13;14;2;8400
568;11;15;5;21000
569;10;15;6;25200
570;11;15;5;21000
571;10;15;6;25200
572;11;15;5;21000
572_1;12;14;3;12600
573;13;15;3;12600
574;11;14;4;16800
575;10;15;6;25200
576;11;15;5;21000
577;11;15;5;21000
578;12;15;4;16800
579;12;15;4;16800
58;2;6;5;21000
580;11;15;5;21000
581;11;15;5;21000
582;11;15;5;21000
583;12;14;3;12600
584;11;15;5;21000
585;11;14;4;16800
586;13;15;3;12600
587;11;15;4;16800
588;11;15;5;21000
589;15;15;1;4200
590;13;13;1;4200
591;12;15;4;16800
592;11;15;5;21000
593;11;15;5;21000
