"Plant_id","ID","Plot","Plant_sp","Plant_sp_complete","N_flowers","Area_m2","Height_cm","sync_index_het","sync_index_con","Cover_con","Cover_het"
"56",333,"D","ROFF","Rosmarinus_officinalis",932,0.538,138,0.311475572193996,0.931711085361143,0.1875,0.625
"560",683,"F","HHAL","Halimium_halimifolium",859,0.96,116,0.135112323074925,0.879028697571744,0,0.375
"561",655,"F","CLIB","Cistus_libanotis",27,0.037,77,0.420842411038489,0.990123456790123,0,0.6875
"562",656,"F","CLIB","Cistus_libanotis",6,0.071,56,0.426470588235294,1,0.03125,0.40625
"563",657,"F","CLIB","Cistus_libanotis",7,0.052,44,0.406162464985994,0.980952380952381,0.03125,0.5
"564",658,"F","CLIB","Cistus_libanotis",676,0.667,86,0.316864948226482,0.893632958801498,0.03125,0.28125
"565",659,"F","CLIB","Cistus_libanotis",254,0.385,70,0.365108094519859,0.948034188034188,0,0.375
"566",92,"A","TMAS","Thymus_mastichina",91,0.009,58,0.262321836579262,0.651348651348651,0,0.71875
"567",93,"A","TMAS","Thymus_mastichina",131,0.005,99,0.131992180109731,0.969889982628836,0,0.53125
"568",94,"A","TMAS","Thymus_mastichina",114,0.015,43,0.145996178565225,0.858054226475279,0.0625,0.46875
"569",95,"A","TMAS","Thymus_mastichina",258,0.005,38,0.153915391539154,0.854366763457673,0.03125,0.65625
"57",334,"D","ROFF","Rosmarinus_officinalis",78,0.251,91,0.334209949594565,0.916239316239316,0.03125,0.5625
"570",96,"A","TMAS","Thymus_mastichina",302,0.037,58,0.134400674109964,0.884332688588008,0,0.625
"571",97,"A","TMAS","Thymus_mastichina",647,0.177,60,0.168357660508319,0.822867853795689,0.0625,0.8125
"572",98,"A","TMAS","Thymus_mastichina",2102,0.042,56,0.113012826436297,0.881422924901186,0.125,0.5625
"572_1",102,"A","TMAS","Thymus_mastichina",378,0.049,46,0.116035116259501,0.882049961370075,0.03125,0.71875
"573",99,"A","TMAS","Thymus_mastichina",333,0.062,88,0.14004103113014,0.87005187005187,0.0625,0.3125
"574",100,"A","TMAS","Thymus_mastichina",217,0.037,46,0.153695320632308,0.83596354745499,0,0.71875
"575",101,"A","TMAS","Thymus_mastichina",151,0.007,42,0.156257494261537,0.816294432211387,0.0625,0.84375
"576",199,"B","TMAS","Thymus_mastichina",573,0.012,69,0.16283314098607,0.911522048364154,0,1.03125
"577",200,"B","TMAS","Thymus_mastichina",327,0.066,68,0.156089193825043,0.934659090909091,0.0625,0.65625
"578",201,"B","TMAS","Thymus_mastichina",250,0.026,55,0.145852051512429,0.963492063492064,0.03125,0.71875
"579",202,"B","TMAS","Thymus_mastichina",207,0.038,49,0.163134315499268,0.921461187214612,0.0625,0.65625
"58",335,"D","ROFF","Rosmarinus_officinalis",1510,0.306,99,0.30157444894287,0.925614035087719,0,0.40625
"580",203,"B","TMAS","Thymus_mastichina",562,0.017,62,0.170245163924664,0.88692515779982,0,0.625
"581",204,"B","TMAS","Thymus_mastichina",687,0.124,68,0.142611118146131,0.976375838926175,0.09375,0.5
"582",205,"B","TMAS","Thymus_mastichina",727,0.291,72,0.148305572833875,0.952380952380952,0.03125,0.53125
"583",206,"B","TMAS","Thymus_mastichina",34,0.032,60,0.128760836308006,1,0.25,0.53125
"584",207,"B","TMAS","Thymus_mastichina",159,0.009,47,0.155028970435299,0.937007874015748,0.03125,0.78125
"585",208,"B","TMAS","Thymus_mastichina",78,0.012,36,0.161385568198185,0.912977099236641,0.03125,0.5
"586",303,"C","TMAS","Thymus_mastichina",141,0.01,74,0.14723297123409,0.710373443983403,0.03125,0.5625
"587",304,"C","TMAS","Thymus_mastichina",28,0.009,71,0.158184622163472,0.596078431372549,0.03125,0.65625
"588",305,"C","TMAS","Thymus_mastichina",47,0.012,30,0.152912307890998,0.427586206896552,0,0.53125
"589",306,"C","TMAS","Thymus_mastichina",4,0.017,51,0.157303370786517,0.8,0,0.65625
"59",336,"D","ROFF","Rosmarinus_officinalis",152,0.52,130,0.360773729194782,0.985964912280702,0,0.59375
"590",307,"C","TMAS","Thymus_mastichina",6,0.018,29,0.157303370786517,0.8,0.03125,0.53125
"591",425,"D","TMAS","Thymus_mastichina",328,0.021,37,0.111851092896175,0.990476190476191,0,0.34375
"592",426,"D","TMAS","Thymus_mastichina",501,0.071,34,0.111204337162773,0.988976377952756,0.03125,0.3125
"593",427,"D","TMAS","Thymus_mastichina",122,0.058,42,0.120531305550069,0.836144578313253,0.03125,0.40625
"594",428,"D","TMAS","Thymus_mastichina",207,0.016,40,0.112760301284891,0.986786786786787,0.03125,0.3125
"595",429,"D","TMAS","Thymus_mastichina",141,0.007,40,0.111807811437637,0.992626728110599,0.03125,0.53125
"596",430,"D","TMAS","Thymus_mastichina",204,0.003,45,0.111459337833494,1,0,0.84375
"597",431,"D","TMAS","Thymus_mastichina",420,0.324,40,0.112373145979703,1,0,0.4375
"598",432,"D","TMAS","Thymus_mastichina",345,0.104,64,0.112067777930844,0.960504201680672,0,0.625
"599",433,"D","TMAS","Thymus_mastichina",296,0.11,68,0.119825969905293,0.881524926686217,0,0.375
"6",6,"A","UPAR","Ulex_parviflorus",1918,0.949,112,0.114852875435724,0.927711270728031,0,0.5
"60",337,"D","ROFF","Rosmarinus_officinalis",186,0.161,114,0.283204449871117,0.953968253968254,0.09375,0.1875
"600",434,"D","TMAS","Thymus_mastichina",448,0.004,39,0.112101141686183,0.994642857142857,0,0.53125
"601",574,"E","TMAS","Thymus_mastichina",766,0.056,47,0.0899705336680127,1,0.0625,0.5
"602",575,"E","TMAS","Thymus_mastichina",720,0.218,74,0.0868776629425717,1,0.03125,0.6875
"603",576,"E","TMAS","Thymus_mastichina",177,0.129,41,0.0867397806580259,1,0.09375,0.96875
"604",577,"E","TMAS","Thymus_mastichina",60,0.002,27,0.0882352941176471,1,0.03125,0.59375
"605",578,"E","TMAS","Thymus_mastichina",2953,0.65,68,0.0907076324060123,0.998336414048059,0.0625,0.59375
"606",579,"E","TMAS","Thymus_mastichina",145,0.165,46,0.0909803921568628,1,0.0625,0.5625
"607",580,"E","TMAS","Thymus_mastichina",334,0.117,57,0.0885975079687047,1,0.03125,0.8125
"608",581,"E","TMAS","Thymus_mastichina",220,0.008,32,0.0880206097037355,1,0.03125,0.71875
"609",582,"E","TMAS","Thymus_mastichina",1555,0.18,50,0.0864168108673802,1,0.03125,0.8125
"61",455,"E","UPAR","Ulex_parviflorus",137,0.838,97,0.299846331156358,0.872019464720195,0.09375,0.375
"610",583,"E","TMAS","Thymus_mastichina",304,0.054,46,0.0873086394678717,1,0.21875,0.71875
"611",684,"F","TMAS","Thymus_mastichina",288,0.079,52,0.127175589336858,0.97940074906367,0.0625,0.46875
"612",685,"F","TMAS","Thymus_mastichina",394,0.074,56,0.133328515681457,0.991809991809992,0.03125,0.46875
"613",686,"F","TMAS","Thymus_mastichina",273,0.035,36,0.131796308266897,0.99023199023199,0.0625,0.5625
"614",687,"F","TMAS","Thymus_mastichina",2485,0.557,66,0.124740380892034,0.994973070017953,0,0.59375
"615",688,"F","TMAS","Thymus_mastichina",562,0.098,40,0.124796643548249,0.972343522561863,0,0.4375
"616",689,"F","TMAS","Thymus_mastichina",798,0.071,61,0.139644505548463,0.947913188647746,0,0.21875
"617",690,"F","TMAS","Thymus_mastichina",1103,0.028,56,0.140120827862991,0.972818000362911,0,0.28125
"618",691,"F","TMAS","Thymus_mastichina",51,0.104,34,0.126297577854671,0.983006535947712,0,0.5625
"619",692,"F","TMAS","Thymus_mastichina",2563,0.201,56,0.130976715010328,0.987718330575473,0.125,0.375
"62",456,"E","UPAR","Ulex_parviflorus",12,0.845,54,0.28874269005848,0.883333333333333,0.0625,0.5
"620",693,"F","TMAS","Thymus_mastichina",295,0.119,60,0.119531696173615,0.963754045307443,0.03125,0.5
"621",694,"F","TMAS","Thymus_mastichina",755,0.036,30,0.136335411143751,0.968493706861551,0.03125,0.6875
"622",695,"F","TMAS","Thymus_mastichina",386,0.114,36,0.142012889071713,0.964475524475524,0.09375,0.71875
"623",696,"F","TMAS","Thymus_mastichina",154,0.101,44,0.133498854087089,0.996103896103896,0.03125,0.625
"624",697,"F","TMAS","Thymus_mastichina",325,0.127,56,0.184426847662142,0.781794871794872,0,0.8125
"625",698,"F","TMAS","Thymus_mastichina",40,0.017,23,0.128560858305586,1,0,0.46875
"626",209,"B","HPIC","Helichrysum_picardii",4,0.017,28,0.15625,0.625,0.0625,0.875
"627",210,"B","HPIC","Helichrysum_picardii",15,0.018,20,0.0535714285714286,0.792857142857143,0,0.90625
"628",211,"B","HPIC","Helichrysum_picardii",73,0.016,43,0.0931712962962963,0.703703703703704,0.0625,0.5625
"629",212,"B","HPIC","Helichrysum_picardii",14,0.012,36,0.108695652173913,0.665217391304348,0,0.71875
"63",457,"E","UPAR","Ulex_parviflorus",704,1.478,92,0.270683811802233,0.914015151515152,0.1875,0.53125
"630",213,"B","HPIC","Helichrysum_picardii",16,0.009,19,0.0896739130434783,0.695652173913044,0.03125,0.53125
"631",214,"B","HPIC","Helichrysum_picardii",4,0.008,24,0.15625,0.625,0.03125,0.75
"632",215,"B","HPIC","Helichrysum_picardii",9,0.01,19,0.114583333333333,0.666666666666667,0,0.375
"633",216,"B","HPIC","Helichrysum_picardii",36,0.049,14,0.12797619047619,0.666666666666667,0,0.34375
"634",217,"B","HPIC","Helichrysum_picardii",1,0.023,21,0,0.65,0,0.8125
"635",218,"B","HPIC","Helichrysum_picardii",2,0.019,14,0.0625,0.8,0.0625,0.4375
"636",219,"B","HPIC","Helichrysum_picardii",2,0.026,20,0,0.725,0,0.625
"637",220,"B","HPIC","Helichrysum_picardii",2,0.028,30,0.15625,0.625,0.09375,0.75
"638",221,"B","HPIC","Helichrysum_picardii",9,0.007,23,0.0568181818181818,0.681818181818182,0.03125,0.90625
"639",222,"B","HPIC","Helichrysum_picardii",5,0.011,28,0,0.68,0.03125,0.875
"64",458,"E","UPAR","Ulex_parviflorus",50,1.31,69,0.320175438596491,0.845333333333333,0.03125,0.40625
"640",223,"B","HPIC","Helichrysum_picardii",16,0.017,23,0.0446428571428571,0.771428571428571,0.03125,0.71875
"641",308,"C","HPIC","Helichrysum_picardii",4,0.008,36,0,0.733333333333333,0.03125,0.5625
"642",309,"C","HPIC","Helichrysum_picardii",6,0.01,27,0.0325497287522604,0.6,0,0.96875
"643",310,"C","HPIC","Helichrysum_picardii",8,0.01,18,0.0455696202531646,0.546666666666667,0,0.75
"644",311,"C","HPIC","Helichrysum_picardii",0,0.009,25,0,0,0.03125,0.75
"645",312,"C","HPIC","Helichrysum_picardii",3,0.006,24,0,0.733333333333333,0.03125,0.59375
"646",313,"C","HPIC","Helichrysum_picardii",23,0.029,46,0.108499095840868,0.367619047619048,0,0.84375
"647",314,"C","HPIC","Helichrysum_picardii",9,0.015,10,0,0.733333333333333,0.0625,0.65625
"648",315,"C","HPIC","Helichrysum_picardii",2,0.012,22,0,0.733333333333333,0.03125,0.875
"649",316,"C","HPIC","Helichrysum_picardii",4,0.011,33,0,0.733333333333333,0.03125,0.625
"65",459,"E","UPAR","Ulex_parviflorus",42,0.803,64,0.262740183792815,0.923809523809524,0.03125,0.25
"650",317,"C","HPIC","Helichrysum_picardii",3,0.02,24,0.105485232067511,0.377777777777778,0.03125,0.5
"651",318,"C","HPIC","Helichrysum_picardii",1,0.02,16,0,0.733333333333333,0.03125,0.5
"652",319,"C","HPIC","Helichrysum_picardii",2,0.025,28,0,0.733333333333333,0.03125,0.71875
"653",320,"C","HPIC","Helichrysum_picardii",2,0.014,14,0,0.733333333333333,0.09375,0.40625
"654",321,"C","HPIC","Helichrysum_picardii",0,0.008,24,0,0,0.03125,0.625
"655",322,"C","HPIC","Helichrysum_picardii",0,0.01,14,0,0,0.0625,0.4375
"656",435,"D","HPIC","Helichrysum_picardii",6,0.037,50,0,0.75,0,0.125
"657",436,"D","HPIC","Helichrysum_picardii",6,0.014,22,0.0357142857142857,0.705555555555555,0.0625,1.125
"658",437,"D","HPIC","Helichrysum_picardii",32,0.051,30,0.046875,0.691666666666667,0,0.78125
"659",438,"D","HPIC","Helichrysum_picardii",6,0.011,28,0,0.75,0.03125,0.46875
"66",460,"E","UPAR","Ulex_parviflorus",41,0.819,104,0.260162601626016,0.923577235772358,0,0.34375
"660",439,"D","HPIC","Helichrysum_picardii",25,0.014,16,0.0465225563909775,0.692105263157895,0.0625,0.375
"661",440,"D","HPIC","Helichrysum_picardii",3,0.009,18,0.0401785714285714,0.7,0.03125,0.46875
"662",441,"D","HPIC","Helichrysum_picardii",2,0.007,15,0.0803571428571429,0.65,0.125,0.59375
"663",442,"D","HPIC","Helichrysum_picardii",10,0.008,13,0.0714285714285714,0.661111111111111,0,0.34375
"664",443,"D","HPIC","Helichrysum_picardii",9,0.008,16,0.0401785714285714,0.7,0,0.3125
"665",444,"D","HPIC","Helichrysum_picardii",10,0.045,22,0,0.15,0,0.25
"666",445,"D","HPIC","Helichrysum_picardii",10,0.027,25,0.0146103896103896,0.731818181818182,0,0.46875
