"Plant_id" "Plant_sp" "Plot" "Response" "Type" "Anthophora_sp" "Apis_mellifera" "Bombus_terrestris" "Bombylius_sp" "Ceratina_sp" "Chalicodoma_sicula" "Chrysolina_americana" "Colletes_sp" "Diptera_sp4" "Diptera_sp9" "Episyrphus_balteatus" "Eristalis_sp" "Eucera_sp" "Eupeodes_sp" "Halictidae_sp1" "Halictus_sp2" "Halictus_sp3" "Hymenoptera_sp1" "Lasioglossum_sp1" "Lasioglossum_sp2" "Lasioglossum_sp6" "Lobonyx_aeneus" "Malachius_sp" "Metasyrphus_corollae" "Nomada_sp" "Osmia_sp" "Rhyncomyia_cupraea" "Syrphidae_sp1" "Syrphidae_sp2" "Syrphidae_sp3" "Thyreus_sp" "Vespidae" "Xylocopa_cantabrita" "N_flowers"
"1" "236" "ROFF" "A" 2 "poisson" 0 0 0 0 0.0135700554110596 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00254438538957367 0 0 0 0 0 0 0 0 0 0 0 0 0 102
"2" "236" "ROFF" "A" 2 "poisson" 0 0 0 0 0.0135700554110596 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00254438538957367 0 0 0 0 0 0 0 0 0 0 0 0 0 102
"3" "236" "ROFF" "A" 4 "poisson" 0 0 0 0 0.0135700554110596 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00254438538957367 0 0 0 0 0 0 0 0 0 0 0 0 0 102
"4" "237" "ROFF" "A" 2 "poisson" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.3557168784029e-05 0 0 0 0 0 0 0 0 0 0 0 0 2302
"5" "237" "ROFF" "A" 1 "poisson" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.3557168784029e-05 0 0 0 0 0 0 0 0 0 0 0 0 2302
"6" "237" "ROFF" "A" 1 "poisson" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.3557168784029e-05 0 0 0 0 0 0 0 0 0 0 0 0 2302
"7" "238" "ROFF" "A" 3 "poisson" 0 0.00180270405608413 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120180270405608 0 0 0 0 0 0 0 0 0 0 0 0 0 111
"8" "238" "ROFF" "A" 2 "poisson" 0 0.00180270405608413 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120180270405608 0 0 0 0 0 0 0 0 0 0 0 0 0 111
"9" "238" "ROFF" "A" 1 "poisson" 0 0.00180270405608413 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120180270405608 0 0 0 0 0 0 0 0 0 0 0 0 0 111
"10" "238" "ROFF" "A" 1 "poisson" 0 0.00180270405608413 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120180270405608 0 0 0 0 0 0 0 0 0 0 0 0 0 111
"11" "239" "ROFF" "A" 1 "poisson" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000920386562356189 0 0 0 0 0 0 0 0 0 0 0 0 0 0 514
"12" "239" "ROFF" "A" 1 "poisson" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000920386562356189 0 0 0 0 0 0 0 0 0 0 0 0 0 0 514
"13" "239" "ROFF" "A" 3 "poisson" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000920386562356189 0 0 0 0 0 0 0 0 0 0 0 0 0 0 514
"14" "239" "ROFF" "A" 1 "poisson" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000920386562356189 0 0 0 0 0 0 0 0 0 0 0 0 0 0 514
"15" "239" "ROFF" "A" 1 "poisson" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000920386562356189 0 0 0 0 0 0 0 0 0 0 0 0 0 0 514
"16" "240" "ROFF" "A" 1 "poisson" 0 0.0243114586875212 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00357021421285277 0.000167141307830033 0 0 0 0 0 0 0 0 0 0 0 0 0 1019
