"Plant_id" "Plant_sp" "Plot" "Response" "Type" "Ancistrocerus_sp" "Andrena_sp" "Anthrenus_sp" "Apis_mellifera" "Bombus_terrestris" "Bombylius_sp" "Ceratina_sp" "Chalicodoma_sicula" "Chasmatopterus_sp" "Chelostoma_sp" "Chrysolina_americana" "Dasypoda_sp" "Deilus_sp" "Diodontus_insidiosus" "Diptera_sp1" "Diptera_sp3" "Diptera_sp4" "Diptera_sp6" "Diptera_sp7" "Diptera_sp8" "Episyrphus_sp" "Eristalis_sp" "Halictidae_sp1" "Halictus_sp" "Heliotaurus_ruficollis" "Hylaeus_sp" "Lasioglossum_sp1" "Lasioglossum_sp2" "Lasioglossum_sp3" "Lasioglossum_sp6" "Lindenius_luteiventris" "Lobonyx_aeneus" "Malachius_sp" "Megachile_sp" "Megachilidae_sp" "Microlepidoptera" "Mordellidae_sp" "Mylabris_sp" "Nitidulidae_sp1" "Nomada_sp" "Nustera_distigma" "Oedemera_sp" "Phthiria_sp" "Phthiria_sp1" "Rhyncomyia_cupraea" "Scaeva_sp" "Sphaerophoria_scripta" "Syrphidae_sp3" "Syrphidae_sp4" "Syrphidae_sp5" "Tiphia_morio" "Usia_sp" "Vespidae" "Vespula_sp" "Xylocopa_cantabrita" "N_flowers"
"1" "366" "CLIB" "A" 20 "poisson" 0 0 0 0 0.00080904359091889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0631030398679686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 442
"2" "366" "CLIB" "A" 10 "poisson" 0 0 0 0 0.00080904359091889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0631030398679686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 442
"3" "366" "CLIB" "A" 21 "poisson" 0 0 0 0 0.00080904359091889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0631030398679686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 442
"4" "366" "CLIB" "A" 23 "poisson" 0 0 0 0 0.00080904359091889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0631030398679686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 442
"5" "366" "CLIB" "A" 11 "poisson" 0 0 0 0 0.00080904359091889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0631030398679686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 442
"6" "366" "CLIB" "A" 6 "poisson" 0 0 0 0 0.00080904359091889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0631030398679686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 442
"7" "366" "CLIB" "A" 16 "poisson" 0 0 0 0 0.00080904359091889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0631030398679686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 442
"8" "366" "CLIB" "A" 16 "poisson" 0 0 0 0 0.00080904359091889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0631030398679686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 442
"9" "366" "CLIB" "A" 18 "poisson" 0 0 0 0 0.00080904359091889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0631030398679686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 442
"10" "366" "CLIB" "A" 4 "poisson" 0 0 0 0 0.00080904359091889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0631030398679686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 442
