"","N_flowers","sum_pol","N_seeds_per_visit_flower","degree","specificity"
"106",827,1707.49775704456,0.00030744123961908,6,0.679018995126769
"107",506,3375.4733850738,0.000131906610823969,3,0.9814045221136
"109",190,1597.02314707584,0.00107042902712952,2,0.810797305914689
"110",377,5050.09577330113,0.000198570264618789,5,0.49993171998645
"111",170,88.901061472571,0.000529007263588416,2,0.374705672914276
"112",193,2807.82036989546,0.000133327645045019,2,0.956165713157736
"113",1066,2058.74079015032,0.000616556878673811,7,0.833757326453757
"114",253,1225.79048031799,0.000998093369384776,3,0.52005697825463
"115",601,1535.31844466082,0.000388925239010939,2,0.669733945886116
"116",323,2356.06803751474,8.7267120715786e-05,3,0.513826939194579
"117",1403,456.718038984856,0.000552606407496398,4,0.367036558512484
"118",481,1001.76451371694,0.0027322880337313,3,0.881397656299258
"119",183,1834.20707372765,0.000191041736006728,1,0.999999999999998
"120",240,1077.16157075133,0.000669651175607432,4,0.86650358615963
"121",521,4175.02559624874,0.000437268764984614,6,0.77926622865676
"122",544,662.120590123194,0.000377876027086714,3,0.829543153388657
"123",472,1704.9063300604,0.000419130232006293,4,0.832063867637136
"124",187,2599.60948438952,0.000191041736006728,1,0.999999999999998
"125",264,1777.75865049038,0.00029498863298138,3,0.102292267315239
"126",882,253.065671958214,0.00254725100600398,3,0.649423982686942
"127",387,282.270059503247,0.00256188963775402,3,0.348177176199405
"128",659,2778.3880561095,9.94509829744095e-05,3,0.9466330643813
"129",79,8111.13953948642,0.000111369697419959,2,0.596385706093043
"130",139,1616.43079517622,0.000982730396763681,5,0.058426236764156
"131",188,1119.20860377239,0.000115325443637345,4,0
"132",1054,2412.2315840494,0.000788117172926408,8,0.444013524791298
"133",929,3824.295355385,0.000839390609579846,7,0.490156781844559
"134",219,1009.99679988878,0.00143030143370484,3,0.749406253444156
"135",320,709.888305169383,0.000503563166241953,2,0.959583541502569
"136",166,1186.45179110296,0.000360913295522405,3,0.535599184242791
"137",643,2392.64292252898,0.000636540102885228,5,0.493164819412188
"138",244,2553.42636824217,0.000291331435023333,4,0.482778258577063
"139",179,984.634465281835,0.000357806458468408,5,0.227154636527609
"140",18,664.592370102795,3.16976588331903e-05,1,0.999999999999997
"141",151,703.243353001731,0.000191041736006728,1,0.999999999999998
"142",390,1690.05893883939,0.000311771106282482,3,0.708600112348034
"143",585,1386.43106910424,0.000796785951545006,7,0.336636447689098
"144",133,213.479290137924,0.000573413677093685,3,0.0931430640673325
"145",480,1845.03362856652,0.00136773344549375,7,0.475588088317976
"146",346,2620.5177580228,0.000555932000638183,7,0.579358267101097
"147",491,97.2225027812147,0.000377876027086714,3,0.26754526290087
"148",679,2072.09711753613,0.000411347611450721,5,0.696904352630984
"149",133,710.777968936101,0.00107042902712952,2,0.458932276760893
"150",127,349.323243437327,0.000510626513992554,1,0.999999999999997
"151",132,1602.19977101095,0.000408934490018921,6,0.0115823406502706
"152",721,704.100281115898,0.000377876027086714,3,0.743081612981971
"153",310,1089.84423250592,0.000231674995574384,3,0.61449730354786
"154",154,1778.99073859482,0.000726013899297607,3,0.29621573437647
"155",157,3722.52361582704,0.00193071313922396,4,0.269634453693437
"156",657,1734.25048401134,0.000133327645045019,2,0.868346754649294
"157",1010,2557.64820872062,0.00110541183293658,4,0.95503303666613
"158",184,459.34457625131,0.00151336025781001,4,0.367391100060982
"160",596,2029.8405945846,0.000503563166241953,2,0.991892875786921
"161",278,1201.8315397388,0.000348103325372559,3,0.824357837971086
"162",313,506.754943946982,0.000503563166241953,2,0.912270338897465
"163",108,2212.54627774532,0.00213816042610804,4,0.488449705205211
"164",626,232.669078801304,0.000324764314491574,4,0.701209000765619
"165",238,2399.01604043364,0.000124560223202108,3,0.592105573097888
"181",751,637.949482474891,0.00192504881407008,5,0.171377676657436
"182",356,1600.95864557964,0.000191041736006728,1,0.999999999999996
"183",196,2322.60559862835,0.000704334113878706,3,0.853238509379836
"184",196,6434.1484323853,0.000514195052262897,6,0.444574748294566
"185",1152,808.785452734946,0.00059976865446931,6,0.585630501270357
"186",1278,1249.84610628242,0.00140555684753023,8,0.66069672699871
"187",741,1290.8749499854,0.00171456342217478,6,0.831523754058011
"188",369,1379.98691733847,0.000648028880963448,5,0.618966466853355
"189",608,1476.81912455893,0.000730478078549758,6,0.377300123589445
"190",166,759.553158305029,0.000360913295522405,3,0.107590164356008
"191",937,1162.7314579526,0.00106975078641357,5,0.592121651012948
"192",171,430.385467197529,0.00011411268982025,2,0.377660892488334
"193",333,2052.06699208032,0.000587152397628058,7,0.101080116807523
"194",197,492.589593781212,0.000951157794676662,3,0.12100499573544
"195",378,1019.07569995617,0.000704334113878706,3,0.222452748721698
"196",217,653.214370948706,0.000503563166241953,2,0.823847792488275
"197",107,1273.34698055119,0.000877655807738466,4,0.0853380928005753
"198",915,794.294001880798,0.00096288772620731,4,0.363031219318372
"199",172,711.642611688947,0.00107042902712952,2,0.378900624434315
"200",724,490.63330219512,0.000388196391103158,3,0.82165185183567
"201",1805,513.563670292186,0.00203607700934621,6,0.809347029492779
"202",321,115.668093922537,0.0010186943937764,2,0.379907037988743
"203",229,2791.66213786153,0.000443639504481455,5,0.268108315265544
"205",804,344.706969734362,0.000575547450411917,5,0.272910002539565
"207",262,451.930204500854,0.000191041736006728,1,1
"208",567,197.468654977738,0.000191041736006728,1,0.999999999999999
"209",102,200.45113047808,0.000909222265424733,3,0.227024298167986
"210",410,962.416900515244,0.000133327645045019,2,0.581079441061699
