"","Ancistrocerus_sp","Andrena_sp","Anthrenus_sp","Apis_mellifera","Bombus_terrestris","Bombylius_sp","Ceratina_sp","Chalicodoma_sicula","Chasmatopterus_sp","Chelostoma_sp","Chrysolina_americana","Dasypoda_sp","Deilus_sp","Diodontus_insidiosus","Diptera_sp1","Diptera_sp3","Diptera_sp4","Diptera_sp6","Diptera_sp7","Diptera_sp8","Episyrphus_sp","Eristalis_sp","Halictidae_sp1","Halictus_sp","Heliotaurus_ruficollis","Hylaeus_sp","Lasioglossum_sp1","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp6","Lindenius_luteiventris","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Megachilidae_sp","Microlepidoptera","Mordellidae_sp","Mylabris_sp","Nitidulidae_sp1","Nomada_sp","Nustera_distigma","Oedemera_sp","Phthiria_sp","Phthiria_sp1","Rhyncomyia_cupraea","Scaeva_sp","Sphaerophoria_scripta","Syrphidae_sp3","Syrphidae_sp4","Syrphidae_sp5","Tiphia_morio","Usia_sp","Vespidae","Vespula_sp","Xylocopa_cantabrita"
"403",0,37.4554102259216,215.373108341029,0,0,0,0,0,0,0,0,0,0,0,0,0,711.652794292509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.277051129607,0,0,0,0,0,0,0,0,0,0,0,0,195.956454121306,0,0,0,0,0,0,0,0,0,0
"404",0,0,31.4317342022794,0,0,18.9837853579638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.1476013034191,0,0,0,0,0,0,958.667893169522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.9837853579638,0,0,0,0,0,0,0,0,0,0
"405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.8359352824297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.50780584729
"406",0,0,61.4055186602251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.3787105526408,0,0,509.933774834437,0,0,0,0,0,0,0,0,0,0,0,0,39.1654038932276,0,0,0,156.661615572911,0,0,0,0,0,0,0,0,0,0
"408",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.845637583892,0,0,0,0,385.795410636993,0,0,0,39.189332942254,0,0,0,0,0,0,0,0,0,0,0,0,253.123531174893,0,0,0,0,0,0,0,0,0,0
"409",0,0,71.6689968744967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418.048952187591,0,0,2145.56785310342,0,0,0,0,0,0,0,0,0,0,71.6689968744967,0,0,0,0,0,115.607423482165,0,71.2266817410967,0,0,0,0,0,0,0,218.452372117249
"410",0,0,67.147522978155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597.644749754661,0,0,0,0,0,0,0,0,0,0,0,0,20.8133676127885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7685346196244,0,0,1191.87621344087,0,0,0,0,8.76095118898624,0,0,0,0,0,0,0,0,0,0,0,108.18068191041,0,0,0,0,0,0,0,0,0,43.8047559449311
"412",0,0,0,0,0,0,0,0,0,0,0,168.448761564631,0,36.8421052631578,0,0,0,0,0,0,0,0,0,0,7.12221013326117,0,0,257.591122640387,0,0,0,65.1850724184234,0,0,0,0,0,0,0,0,0,0,73.6842105263158,0,0,0,0,0,0,0,221.11728575607,0,0,0,124.770736055996
"413",0,0,0,0,1.42915664224918,0,0,0,0,0,0,60.2262467470392,0,0,0,0,0,0,0,0,0,0,0,0,18.5597281084025,0,0,840.461289995195,0,0,0,20.0754155823464,0,0,0,0,0,0,0,0,0,0,0,0,73.6098571352701,0,0,0,0,0,0,0,0,0,0
