"","Andrena_sp","Anthophora_sp","Apis_mellifera","Attagenus_sp","Bombus_terrestris","Bombylius_sp","Cantharidae_sp","Colletes_sp","Dasypoda_sp","Diptera_sp7","Episyrphus_sp","Eristalis_sp","Eucera_sp","Eupeodes_sp","Hymenoptera_sp1","Lasioglossum_sp1","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Malthodes_sp","Megachilidae_sp","Metasyrphus_corollae","Nitidulidae_sp1","Paragus_tibialis","Rhyncomyia_cupraea","Sphaerophoria_scripta","Syrphidae_sp1","Syrphidae_sp2","Syrphidae_sp3","Syrphidae_sp4","Xylocopa_cantabrita"
"106",3.71194442839745e-05,0,0.00058680874201515,0,0,0,0,0,0,0,0,0,0.00012906454238187,0,0,0,0.000191041736006728,0,3.36401818566556e-05,0,0.000866972791170104,0,0,0,0,0,0,0,0,0,0,0,0
"107",0,0,0,0,0,0,0,0,0,0,0,0,0.00012906454238187,0,0,0,0.000191041736006728,0,0,7.56135540833102e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",0,0,0,0.00194981631825232,0,0,0,0,0,0,0,0,0,0,0,0,0.000191041736006728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",3.71194442839745e-05,0,0,0,0,0,0,0,0,0.000161904138375862,0,0,0,0,0,0,0.000191041736006728,0,0,0,0,0,0,0,0,0,0.000565602360793609,0,0,0,3.71836436337723e-05,0,0
"111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191041736006728,0,0,0,0.000866972791170104,0,0,0,0,0,0,0,0,0,0,0,0
"112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191041736006728,0,0,7.56135540833102e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",0,0,0,0,0.000466799607082651,0,0,0,0,0,0,0.000816084596477178,0,0,0,0,0.000191041736006728,0,0,7.56135540833102e-05,0.000866972791170104,0,0.00186220222226293,0,0,0,0,0,0,0,3.71836436337723e-05,0,0
"114",0,0,0,0,0,0,0,0,0.00198715377567042,0,0,0.000816084596477178,0,0,0,0,0.000191041736006728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",0,0,0.00058680874201515,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191041736006728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",3.71194442839745e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191041736006728,0,3.36401818566556e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",0,0,0.00058680874201515,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191041736006728,0,0,0,0.000866972791170104,0,0,0,0,0,0.000565602360793609,0,0,0,0,0,0
"118",0,0,0.00058680874201515,0,0,0.00741901362317203,0,0,0,0,0,0,0,0,0,0,0.000191041736006728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191041736006728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",0,0,0,0,0,0,0,0.00184634705154608,0,0,0,0,0,0,0,0,0.000191041736006728,0,0,7.56135540833102e-05,0,0,0,0,0,0,0.000565602360793609,0,0,0,0,0,0
