"","Ancistrocerus_sp","Andrena_sp","Anthrenus_sp","Apis_mellifera","Bombus_terrestris","Bombylius_sp","Ceratina_sp","Chalicodoma_sicula","Chasmatopterus_sp","Chelostoma_sp","Chrysolina_americana","Dasypoda_sp","Deilus_sp","Diodontus_insidiosus","Diptera_sp1","Diptera_sp3","Diptera_sp4","Diptera_sp6","Diptera_sp7","Diptera_sp8","Episyrphus_sp","Eristalis_sp","Halictidae_sp1","Halictus_sp","Heliotaurus_ruficollis","Hylaeus_sp","Lasioglossum_sp1","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp6","Lindenius_luteiventris","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Megachilidae_sp","Microlepidoptera","Mordellidae_sp","Mylabris_sp","Nitidulidae_sp1","Nomada_sp","Nustera_distigma","Oedemera_sp","Phthiria_sp","Phthiria_sp1","Rhyncomyia_cupraea","Scaeva_sp","Sphaerophoria_scripta","Syrphidae_sp3","Syrphidae_sp4","Syrphidae_sp5","Tiphia_morio","Usia_sp","Vespidae","Vespula_sp","Xylocopa_cantabrita"
"366",0,0,0,0,0.0130080184681391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00391136287468621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"367",0.0523026289238315,0.000443267595300921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177517000743533,0,0,0,0,0,0,0,0.00391136287468621,0.0289853177230642,0,0,0,0,0,0,0,0,0,0,0,0.028979306280077,0,0,0,0.00115523299463561,0,0.00167793342324833,0,0,0,0,0,0,0,0
"368",0,0,0.00245753942213658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105746093208451,0,0,0,0.00391136287468621,0,0.000235681068276256,0,0,0,0,0,0,0,0,0,0,0.028979306280077,0,0,0,0.00115523299463561,0,0.00167793342324833,0,0,0,0,0,0,0,0
"369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103607302956613,0,0,0,0,0,0,0,0,0,0,0,0.00391136287468621,0.0289853177230642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115523299463561,0,0,0,0,0.521978727708745,0,0,0,0,0.00337922892858788
"370",0,0.000443267595300921,0.00245753942213658,0.000182198850809101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00838660503316902,0,0,0,0,0.00391136287468621,0.0289853177230642,0,0,0,0,0,0,0,0,0,0,0,0.028979306280077,0,0,0,0.00115523299463561,0.0101610515030381,0,0,0,0,0,0,0.00724134850386025,0,0
"371",0,0.000443267595300921,0.00245753942213658,0,0.0130080184681391,0,0.00795697731058359,0,0,0,0,0.000680272851418217,0,0,0,0,0,0,0,0,0.0110538671934032,0,0.00838660503316902,0,0,0,0,0.00391136287468621,0.0289853177230642,0,0,0,0,0,0,0,0,0,0,0,0.028979306280077,0,0,0,0.00115523299463561,0,0.00167793342324833,0,0,0,0,0,0.00724134850386025,0.033842353942716,0
"372",0,0,0.00245753942213658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00391136287468621,0,0,0,0,0,0,0,0,0.12478351509047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"373",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103607302956613,0,0,0,0,0,0,0,0.0105746093208451,0,0,0,0.00391136287468621,0,0,0,0.00783705875593736,0,0,0,0,0,0,0,0,0.028979306280077,0,0,0,0.00115523299463561,0,0,0,0,0,0,0,0,0,0
"374",0,0,0,0,0,0,0.00795697731058359,0,0,0,0,0,0,0,0.00805605577316577,0,0,0,0.00947287143522648,0,0,0,0,0.0105746093208451,0,0,0,0.00391136287468621,0,0,0,0,0,0,0,0,0,0.0106411557712039,0,0,0,0,0,0,0.00115523299463561,0,0,0,0,0,0,0,0.00724134850386025,0,0
"375",0,0,0.00245753942213658,0,0.0130080184681391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00947287143522648,0,0,0,0,0.0105746093208451,0,0,0,0.00391136287468621,0,0,0,0.00783705875593736,0,0,0,0,0,0,0,0,0,0,0.0307242223505718,0,0.00115523299463561,0,0,0,0,0,0,0,0,0,0.00337922892858788
