"","Acmaeodera_sp","Andrena_sp","Apis_mellifera","Bombus_terrestris","Buprestidae_sp1","Buprestidae_sp2","Chasmatopterus_sp","Coptocephala_sp","Curculionidae","Dasypoda_sp","Diptera_sp1","Diptera_sp10","Diptera_sp4","Halictus_sp","Heliotaurus_ruficollis","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp4","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Megachile_sp","Mordellidae_sp1","Mylabris_sp1","Nustera_distigma","Oedemera_sp","Osmia_sp","Paragus_tibialis","Phthiria_sp","Phthiria_sp1","Phthiria_sp2","Rhyncomyia_cupraea","Syritta_pipiens","Syrphidae_sp1","Tituboea_sp","Usia_sp","Vespula_sp","Xylocopa_cantabrita","Plant_id","Plant_sp","N_flowers","Flowering_min","degree","specificity"
"490",0,0,0,0,0,0,0.129607454493442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00810046590584015,0,0,0,0,0,0,0,0,0,0,0,0,"490","HHAL",1,4200,2,0.886515102459934
"491",0,0,0,0,0,0,0.128199839607446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116540484863284,0,0,0,0,0,0,0,0,0,0,0,0,"491","HHAL",48,16800,2,0.841526392484505
"493",0,0,0,0,0,0,0.00367060170940926,0,0,0,0,0,0,0,0.0016882877793713,0.0220967539697343,0,0,0,0.00197963515425939,0,0.000121435004349444,0,0,0,0,0,0,0,0,0,0.00583410920324842,0,0,0,0.000195910379984126,0,0,"493","HHAL",944,33600,7,0.307671194467428
"494",0,0,0,0,0,0,0.00818505253473614,5.26446339106043e-05,0,0,0,0,0,0,0.00138802059024021,0,0,0,0,0,0,0,0,8.57005668312163e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"494","HHAL",417,29400,4,0.724257377249454
"495",0,0,0,0,0,0,0.145303072341004,0,0,0,0.00171232876712329,0,0,0,0.00390852210760924,0.0254705257279035,0,0,0,0.00529053875319637,0,0,0,0,0,0,0.0105810775063927,0,0,0.00812571475901331,0,0,0,0,0,0,0,0,"495","HHAL",201,25200,7,0.480038488365098
"496",0,0,0,0.0161459867910012,0,0,0.124552316644723,0,0,0,0,0,0,0,0.0127142864866478,0.00259216589861751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191036039209596,"496","HHAL",351,33600,5,0.458558004139495
"497",0,0.00773993808049536,0,0,0,0,0.085353641233122,0,0,0,0,0,0,0,0.0204475729918048,0.00773993808049536,0,0,0,0,0.000283958049903088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"497","HHAL",199,25200,5,0.455181955184442
"498",0,0,0,0,0,0,0.0581452013628491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"498","HHAL",90,25200,1,0.999999999999997
"499",0,0,0,0,0,0,0.0791920445026174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"499","HHAL",99,21000,1,0.999999999999998
"500",0,0,0,0,0,0,0.322244972640407,0,0,0,0,0,0,0,0.0609178367558565,0.0063633986924891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00415368639667705,"500","HHAL",107,25200,4,0.667334718533126
