"","Andrena_sp","Anthophora_sp","Apis_mellifera","Attagenus_sp","Bombus_terrestris","Bombylius_sp","Cantharidae_sp","Colletes_sp","Dasypoda_sp","Diptera_sp7","Episyrphus_sp","Eristalis_sp","Eucera_sp","Eupeodes_sp","Hymenoptera_sp1","Lasioglossum_sp1","Lasioglossum_sp2","Lasioglossum_sp3","Lasioglossum_sp6","Lobonyx_aeneus","Malachius_sp","Malthodes_sp","Megachilidae_sp","Metasyrphus_corollae","Nitidulidae_sp1","Paragus_tibialis","Rhyncomyia_cupraea","Sphaerophoria_scripta","Syrphidae_sp1","Syrphidae_sp2","Syrphidae_sp3","Syrphidae_sp4","Xylocopa_cantabrita","Plant_id","Plant_sp","N_flowers","Flowering_min","degree","specificity"
"127",0,0,0,0,0,0.000624089868941128,0,0,0,0,0,0,0,0,0,0,0.00520014746082219,0,0,0.00257665729830952,0,0,0,0,0,0,0,0,0,0,0,0,0,"127","HCOM",387,33600,3,0.348177176199405
"128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0805923704332756,0,0,0.000458883994126285,0,0,0,0,0,0,0,0,0,0,0,0,0.00163886629014282,"128","HCOM",659,33600,3,0.9466330643813
"129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708260985653185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251044518080968,"129","HCOM",79,25200,2,0.596385706093043
"130",0,0.00552918951297056,0.00411813464318547,0,0,0,0,0,0,0,0,0.00437643184847169,0,0,0,0,0.0253717562386677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155851270484128,"130","HCOM",139,29400,5,0.058426236764156
"131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014985014985015,0,0,0.00914966526173323,0,0,0,0,0,0,0,0,0,0.00478397434772225,0.00914966526173323,0,0,"131","HCOM",188,29400,4,0
"132",0,0,0.00808949465995463,0,0,0,0,0,0,0,0,0.00120531140559398,0,0,0.00141612971748212,0,0.0520493223221404,0,0.0058633831720903,0.00202583251033582,0.000435068021798468,0,0,0,0,0.000708064858741061,0,0,0,0,0,0,0,"132","HCOM",1054,33600,8,0.444013524791298
"133",0.00710597375527026,0,0.00330391624205225,0,0,0,0,0,0,0,0,0.00451463862039013,0,0,0,0,0.0854939827603044,0,0.00284238950210811,0,0,0.000609050010859569,0,0,0,0,0,0,0,0,0,0,0.00994836325737837,"133","HCOM",929,33600,7,0.490156781844559
"134",0,0,0.000992637935313095,0,0,0,0,0,0,0,0.00397055174125238,0,0,0,0,0,0.0351160484142592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"134","HCOM",219,25200,3,0.749406253444156
"135",0,0,0,0,0,0,0,0,0,0,0,0.000464532912156826,0,0,0,0,0.0236813278078902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"135","HCOM",320,29400,2,0.959583541502569
"136",0,0,0,0,0,0,0,0,0,0,0,0.00784929356357928,0,0,0,0,0.0264550264550265,0,0,0.0010067451927917,0,0,0,0,0,0,0,0,0,0,0,0,0,"136","HCOM",166,33600,3,0.535599184242791
"137",0,0,0.0170223336108312,0,0,0,0,0,0,0,0,0,0,0,0,0.000713623064297438,0.0515067310820541,0,0,0.00161011150022139,0.000356811532148719,0,0,0,0,0,0,0,0,0,0,0,0,"137","HCOM",643,33600,5,0.493164819412188
"138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056353941613804,0,0,0.00630745092776383,0.00869656510017114,0,0,0,0,0,0,0,0,0,0,0,0.00463687474642091,"138","HCOM",244,33600,4,0.482778258577063
"139",0,0,0.00624739691795085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0199804870592699,0,0,0,0.00127426411247505,0,0,0,0.00299441005858467,0,0,0,0,0,0.00299441005858467,0,0,"139","HCOM",179,29400,5,0.227154636527609
"140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316472557191807,"140","HCOM",18,21000,1,0.999999999999997
"141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239198419388344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"141","HCOM",151,29400,1,0.999999999999998
"142",0,0,0.00793201133144476,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489649662293031,0,0,0,0,0,0,0,0,0,0,0,0,0.000588020358959136,0,0,0,"142","HCOM",390,29400,3,0.708600112348034
"143",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143936667866139,0,0,0.0305951225405209,0,0,0.0105729444256935,0,0,0,0,0.00219685586435239,0,0.000945715906941555,0,0.000222679817894601,0,0,0.00118483412322275,0,"143","HCOM",585,29400,7,0.336636447689098
"144",0,0,0,0,0,0,0,0,0,0,0,0.00213745640803173,0,0,0,0,0,0,0,0,0.00213745640803173,0,0,0,0,0,0,0,0,0,0.00207863748566047,0,0,"144","HCOM",133,33600,3,0.0931430640673325
"145",0.0105498721227621,0,0,0,0,0.00148000148000148,0,0,0,0,0,0.00222000222000222,0,0,0,0,0.0460173845619537,0,0,0.000374672161858374,0,0,0,0,0,0,0,0.000459784207945071,0,0,0.00165452911508642,0,0,"145","HCOM",480,29400,7,0.475588088317976
"146",0,0,0.0011263375258119,0,0,0,0.00171066887152877,0,0,0,0,0,0,0,0,0.000655279367436984,0.0618765689125543,0,0,0.00830346867048126,0.000563168762905951,0,0,0,0,0,0,0,0,0,0,0,0.00375610783043548,"146","HCOM",346,33600,7,0.579358267101097
"147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000569081786537422,0,0,0.00170724535961227,0.000617199722338841,0,0,0,0,0,0,0,0,0,0,0,0,"147","HCOM",491,33600,3,0.26754526290087
"148",0,0,0,0,0,0,0,0,0,0,0,6.27617202171912e-05,0,0,0,0,0.0521013705487887,0,0,0.00902905811169849,6.27617202171912e-05,0,0,0,0.000413604968606115,0,0,0,0,0,0,0,0,"148","HCOM",679,33600,5,0.696904352630984
"149",0,0,0,0.00934518442448747,0,0,0,0,0,0,0,0,0,0,0,0,0.0188602905332943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"149","HCOM",133,25200,2,0.458932276760893
"150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138620334697352,0,"150","HCOM",127,25200,1,0.999999999999997
"151",0,0,0,0,0,0,0,0,0,0,0,0.00615028272791935,0,0,0,0,0.0102895817711645,0,0,0,0.00476642097182148,0,0,0,0,0,0,0,0,0,0.0257031034067494,0.00615028272791935,0.00143691924513842,"151","HCOM",132,29400,6,0.0115823406502706
"152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243885583120824,0,0,0.00283518467278588,0.000716744361000711,0,0,0,0,0,0,0,0,0,0,0,0,"152","HCOM",721,25200,3,0.743081612981971
"153",0,0,0,0,0.0296650323431255,0,0,0,0,0,0,0,0,0,0,0,0.00634905467424932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105544470051357,0,0,"153","HCOM",310,29400,3,0.61449730354786
"154",0,0,0,0.00436591994737269,0,0,0,0,0,0,0,0,0,0,0,0,0.0331785891031783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229653800173001,0,0,"154","HCOM",154,29400,3,0.29621573437647
"155",0,0,0,0,0,0.00380212861131121,0,0,0,0,0,0,0,0,0,0,0.0746124363118362,0,0,0.0139085250848703,0,0,0,0,0,0,0,0,0,0,0.0342933595099089,0,0,"155","HCOM",157,29400,4,0.269634453693437
"156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552005755897985,0,0,0.00378753611126742,0,0,0,0,0,0,0,0,0,0,0,0,0,"156","HCOM",657,29400,2,0.868346754649294
"157",0,0.000457568177658471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074497926567604,0,0,0.00107802964972254,8.69580074144093e-05,0,0,0,0,0,0,0,0,0,0,0,0,"157","HCOM",1010,33600,4,0.95503303666613
"158",0,0,0,0,0,0,0,0,0,0,0,0.00322722412651485,0,0,0,0,0.0122573170670681,0,0,0,0.00112841345068833,0.00161500473078072,0,0,0,0,0,0,0,0,0,0,0,"158","HCOM",184,25200,4,0.367391100060982
"160",0,0,0,0,0,0,0,0,0,0,0,0.000231348250929866,0,0,0,0,0.0601805742069452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"160","HCOM",596,33600,2,0.991892875786921
"161",0,0,0,0,0,0,0,0,0,0,0,0.00312337324310255,0,0,0,0,0.0436260119203304,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000942342603979693,0,0,"161","HCOM",278,25200,3,0.824357837971086
"162",0,0,0,0,0,0,0,0,0,0,0,0.000728546578552192,0,0,0,0,0.0165080161407329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"162","HCOM",313,29400,2,0.912270338897465
"163",0,0,0,0,0,0.00234164617726262,0,0,0,0,0,0,0,0,0,0,0.0557287286812175,0,0,0.0110926234054354,0.00609367784987097,0,0,0,0,0,0,0,0,0,0,0,0,"163","HCOM",108,29400,4,0.488449705205211
"164",0,0,0,0,0.000345755562342609,0,0,0,0,0,0,0,0,0,0,0,0.00591815988785241,0,0,0.000503257538236057,0,0,0,0,0,0,0.000157501975893447,0,0,0,0,0,0,"164","HCOM",626,33600,4,0.701209000765619
"165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644118752062745,0,0,0.00336134453781513,0,0,0,0,0.0138259653046737,0,0,0,0,0,0,0,0,"165","HCOM",238,29400,3,0.592105573097888
"181",0,0,0,0,0,0,0,0,0,0,0,0.00197889182058047,0,0,0,0,0.00751323572776414,0.000557121690277012,0,0.0086486792436288,0,0,0,0,0,0,0,0,0,0,0,0,0.000288663258073705,"181","HCOM",751,33600,5,0.171377676657436
"182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476475787374892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"182","HCOM",356,33600,1,0.999999999999996
"183",0,0,0,0,0,0,0,0.00475567708952562,0,0,0,0,0,0,0,0,0.0856466615581843,0,0,0.00176455018674823,0,0,0,0,0,0,0,0,0,0,0,0,0,"183","HCOM",196,25200,3,0.853238509379836
"184",0,0,0.0213594076324283,0,0.00427188152648567,0,0,0,0,0,0,0.00435529531321832,0,0,0,0,0.138548121867501,0,0,0,0.0187106133813489,0,0,0,0,0,0,0,0,0.00424719314762797,0,0,0,"184","HCOM",196,33600,6,0.444574748294566
"185",0,0,0.00160545855910094,0,0.000213242714689382,0,0,0,0,0,0,0.00055931173183067,0,0,0,0.000238220020010482,0.0191735424775103,0,0,0.00228122011396971,0,0,0,0,0,0,0,0,0,0,0,0,0,"185","HCOM",1152,33600,6,0.585630501270357
"186",0,0,0.000365061821666756,0,0.00056790041751227,0,0,0,0,0,0,0.00241704060853635,0,0,0,0,0.03556608653102,0.000235537044796572,0,0.000555096961142791,0,0,0,0,0,0,0.00063708992673482,0,0,0,0,0,0.00216795901112163,"186","HCOM",1278,29400,8,0.66069672699871
"187",0,0,0.000554131525304532,0,0,0,0,0,0,0,0,0.00147886879994215,0,0,0,0,0.0403838494365573,0.000366512295148534,0,0.000501189678195099,0,0,0,0,0.000622759488845748,0,0,0,0,0,0,0,0,"187","HCOM",741,29400,6,0.831523754058011
"188",0,0,0,0,0,0,0,0.00290430320925505,0,0,0,0,0.000774293457220286,0,0,0,0.0334377240665481,0,0,0.000988679618369667,0,0,0,0,0,0,0,0.002966038855109,0,0,0,0,0,"188","HCOM",369,33600,5,0.618966466853355
"189",0,0,0.00913461538461539,0,0,0,0,0.00817307692307692,0,0,0,0.000626147937886125,0,0,0,0,0.039646551815236,0,0,0.000682360968952576,0.000341180484476288,0,0,0,0,0,0,0,0,0,0,0,0,"189","HCOM",608,25200,6,0.377300123589445
"190",0,0,0,0,0,0,0,0,0,0,0,0.0081202591706657,0,0,0,0,0.0104052318004731,0,0,0.00730965046780776,0,0,0,0,0,0,0,0,0,0,0,0,0,"190","HCOM",166,29400,3,0.107590164356008
"191",0,0.000563936275200902,0.000845904412801353,0,0.00282229423785578,0,0,0,0,0,0,0.00268961807423346,0,0,0,0,0.0276833499151645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"191","HCOM",937,33600,5,0.592121651012948
"192",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077755787921601,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00686338267714362,0,0,"192","HCOM",171,29400,2,0.377660892488334
"193",0,0,0.000778459221216255,0,0,0,0,0,0.00886974151039027,0,0,0,0,0,0,0,0.0372970417069418,0,0.00253421186011151,0.00760263558033452,0.0101818952704287,0,0,0.00253421186011151,0,0,0,0,0,0,0,0,0,"193","HCOM",333,29400,7,0.101080116807523
"194",0,0,0,0,0,0,0,0.00465332712889716,0,0,0,0.00694728011784214,0,0,0,0,0.00794659885568976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"194","HCOM",197,25200,3,0.12100499573544
